site,tomst_id,start_date,end_date,probl
MAL061,94194191,2019-06-03,2019-08-09,2
MAL062,94194200,2019-06-03,2019-08-09,2
MAL063,94194131,2019-06-03,2019-08-08,2
MAL064,94194133,2019-06-03,2019-08-08,2
MAL065,94194158,2019-06-03,2019-08-09,2
MAL066,94194159,2019-06-03,2019-08-09,2
MAL067,94194128,2019-06-03,2019-08-06,2
MAL068,94194125,2019-06-03,2019-08-06,2
MAL070,94194109,2019-06-03,2019-08-06,2
MAL070,94194109,2020-08-26,2021-07-15,1
MAL070,94194109,2021-07-16,2021-08-20,3
MAL070,94194109,2022-08-01,2022-09-22,3
MAL071,94194196,2019-06-03,2019-08-09,2
MAL072,94194197,2019-06-03,2019-08-09,2
MAL072,94194197,2020-07-27,2020-08-08,1
MAL072,94194197,2021-08-19,2022-06-25,3
MAL073,94194135,2019-06-03,2019-08-08,2
MAL073,94194135,2019-08-22,2020-08-10,1
MAL073,94194135,2021-08-28,2021-08-30,2
MAL074,94194152,2019-06-03,2019-08-09,2
MAL075,94194154,2019-06-03,2019-08-09,2
MAL076,94194114,2019-06-03,2019-08-13,2
MAL077,94194112,2019-06-03,2019-08-13,2
MAL078,94194129,2019-06-03,2019-08-06,2
MAL078,94194129,2019-08-12,2020-07-04,3
MAL079,94194130,2019-06-03,2019-08-06,2
MAL079,94194130,2022-07-20,2022-09-22,3
MAL080,94194148,2019-06-03,2019-08-06,2
MAL081,94194192,2019-06-03,2019-08-09,2
MAL082,94194193,2019-06-03,2019-08-09,2
MAL083,94194160,2019-06-03,2019-08-09,2
MAL083,94194160,2021-08-30,2022-08-19,1
MAL084,94194113,2019-06-03,2019-08-13,2
MAL085,94194168,2019-06-03,2019-08-13,2
MAL086,94194167,2019-06-03,2019-08-13,2
MAL087,94194115,2019-06-03,2019-08-13,2
MAL088,94194116,2019-06-03,2019-08-13,2
MAL089,94194165,2019-06-03,2019-08-13,2
MAL090,94194161,2019-06-03,2019-08-12,2
MAL091,94194153,2019-06-03,2019-08-09,2
MAL092,94194157,2019-06-03,2019-08-09,2
MAL094,94194111,2019-06-03,2019-08-13,2
MAL095,94194166,2019-06-03,2019-08-13,2
MAL097,94194162,2019-06-03,2019-08-13,2
MAL098,94194163,2019-06-03,2019-08-13,2
MAL099,94194169,2019-06-03,2019-08-13,2
MAL100,94194164,2019-06-03,2019-08-12,2
RA003,94204720,2020-05-27,2020-07-19,2
RA003,94204720,2020-07-20,2021-08-30,6
RA007,94204715,2020-05-27,2020-07-19,2
RA007,94204715,2020-07-20,2021-08-30,6
RA009,94204717,2020-05-27,2020-07-20,2
RA009,94204717,2020-07-21,2021-08-30,6
RA010,94204716,2020-05-27,2020-07-20,2
RA010,94204716,2020-07-21,2021-08-30,6
RA011,94204719,2020-05-27,2020-07-20,2
RA011,94204719,2020-07-21,2021-08-30,6
RA013,94204785,2020-05-27,2020-07-24,2
RA013,94204785,2020-07-25,2021-08-04,6
RA013,94204785,2021-08-05,2021-08-10,1
RA014,94204779,2020-05-27,2020-07-24,2
RA014,94204779,2020-07-25,2021-08-10,6
RA015,94204805,2020-05-27,2020-07-25,2
RA015,94204805,2020-07-26,2021-08-08,6
RA016,94204786,2020-05-27,2020-07-27,2
RA016,94204786,2020-07-28,2021-05-30,6
RA016,94204786,2021-05-31,2021-08-24,1
RA017,94204735,2020-05-27,2020-08-06,2
RA017,94204735,2020-08-07,2021-08-15,6
RA021,94204731,2020-05-27,2020-08-04,2
RA021,94204731,2020-08-05,2021-08-15,6
RA022,94204734,2020-05-27,2020-08-04,2
RA022,94204734,2020-08-05,2021-08-15,6
RA025,94204732,2020-05-27,2020-08-06,2
RA025,94204732,2020-08-07,2021-08-15,6
RA027,94204748,2020-05-27,2020-07-29,2
RA027,94204748,2020-07-30,2020-09-16,6
RA027,94204748,2020-09-17,2021-07-27,1
RA027,94204748,2021-07-28,2021-08-10,6
RA028,94204740,2020-05-27,2020-08-04,2
RA028,94204740,2020-08-05,2021-08-15,6
RA029,94204739,2020-05-27,2020-08-05,2
RA029,94204739,2020-08-06,2021-08-24,6
RA030,94204736,2020-05-27,2020-08-05,2
RA030,94204736,2020-08-06,2021-08-21,6
