tomst_id,T1,T2,T3
94194029,0.2448,-0.0238,0
94194041,0,0.0139,-0.0211
94194184,0.0455,-0.0223,0
94194189,-0.0929,0,0.0299
94194187,0.1368,0,-0.1071
94194179,0.0925,-0.0352,0
94194175,0.1718,-0.1562,0
94194043,0,0.0502,-0.127
94194045,0.033,-0.0349,0
94194044,-0.0671,0,0.0311
94194026,-0.0016,0.1403,0
94194024,0.0848,-0.0424,0
94194182,0.0046,-0.0461,0
94194185,0,8e-04,-0.1664
94194180,0.245,0,-0.0131
94194177,0.199,-0.0804,0
94194178,0,-0.031,0.0653
94194048,0,-0.1909,0.0179
94194022,0,0.0318,-0.0173
94194021,0.1117,-0.0918,0
94194023,0.2583,0,-0.039
94194025,0.2279,0,-0.0687
94194183,0.1652,0,-0.0608
94194190,0.148,-0.0374,0
94194010,0.2341,0,-0.01
94194002,0.0675,0,-0.0148
94194092,0.1446,-0.066,0
94194099,0.2451,0,-0.0795
94194100,-0.0412,0,0.0099
94194027,0.08,0,-0.1348
94194030,0.1126,0,-0.0879
94194097,0,0.0254,0
94194181,0.0263,-0.0413,0
94194188,0.1506,-0.0393,0
94194009,0,-0.0809,0.1009
94194007,0.1928,-0.0088,0
94194098,0.1104,-0.04,0
94194096,0,0.0038,-0.082
94194094,0.2452,-0.0036,0
94194095,0.0659,-0.032,0
94194093,0.1115,-0.1138,0
94194091,0,-0.0572,0.0036
94194186,0.2535,0,-0.0964
94194008,0,-0.0414,0.0382
94194006,0.1664,-0.0501,0
94194003,0.1812,-0.0058,0
94194054,0.2398,-0.1814,0
94194071,0.006,0,-0.0879
94194074,0,-0.0214,0.0709
94194075,0.0602,-0.0686,0
94194077,0.2176,-0.1612,0
94194073,0.1338,-0.1327,0
94194198,0.0639,0,-0.2496
94194195,0.258,0,-0.0147
94194004,-0.0368,0,0.0218
94194055,0,0.0013,-0.1136
94194060,-0.0305,0.011,0
94194058,0.0782,-0.0447,0
94194076,0.1069,-0.1526,0
94194052,0,-0.1791,0.0943
94194053,0,0.1032,-0.0819
94194072,0.0153,-0.0431,0
94194005,0,-0.044,0.1169
94194001,0.0201,-0.158,0
94194051,0.0584,0,-0.0829
94194059,0.1497,0,-0.0279
94194050,0.2347,0,-0.0299
94194046,-0.0253,0.0252,0
94194080,0.0625,-0.0617,0
94194057,0.1029,0,-0.0082
94194020,0.223,-0.0118,0
94194056,0,-0.0898,0.0577
94194040,0,0.0135,-0.0248
94194035,0,0.0288,-0.0896
94194034,0,0.0299,-0.0929
94194036,0.0975,0,-0.0061
94194033,0.2444,0,-0.0288
94194011,0.0209,-0.144,0
94194078,0.2955,0,-0.0547
94194016,0.0951,-0.0855,0
